ID_CENSO;Date;SECTOR;Species;Individuals;Notes;Starting time;Finishing time;Cloudiness;Wind speed;Wind direction;Waves
CP19930405;05-abr-93;ZACA;Milvus migrans;1;-;18:20;19:45;2;2;S;2
CP19930412;12-abr-93;CAMA;Calidris alba;23;-;13:05;14:40;2;2;W;3
CP19930412;12-abr-93;CAMA;Charadrius alexandrinus;2;-;13:05;14:40;2;2;W;3
CP19930412;12-abr-93;CAMA;Corvus corax;2;-;13:05;14:40;2;2;W;3
CP19930412;12-abr-93;CAMA;Larus fuscus;25;-;13:05;14:40;2;2;W;3
CP19930412;12-abr-93;CAMA;Melanitta nigra;2;-;13:05;14:40;2;2;W;3
CP19930412;12-abr-93;MAZA;Calidris alba;40;-;13:05;14:40;2;2;W;3
CP19930412;12-abr-93;MAZA;Charadrius alexandrinus;10;-;13:05;14:40;2;2;W;3
CP19930412;12-abr-93;MAZA;Chroicocephalus ridibundus;30;-;13:05;14:40;2;2;W;3
CP19930412;12-abr-93;MAZA;Haematopus ostralegus;112;-;13:05;14:40;2;2;W;3
CP19930412;12-abr-93;MAZA;Hydroprogne caspia;1;-;13:05;14:40;2;2;W;3
CP19930412;12-abr-93;MAZA;Larus fuscus;407;-;13:05;14:40;2;2;W;3
CP19930412;12-abr-93;MAZA;Larus michahellis;12;-;13:05;14:40;2;2;W;3
CP19930412;12-abr-93;MAZA;Sterna sandvicensis;25;-;13:05;14:40;2;2;W;3
CP19930412;12-abr-93;MAZA;Sterna sp.;30;-;13:05;14:40;2;2;W;3
CP19930412;12-abr-93;ZACA;Calidris alba;34;-;13:05;14:40;2;2;W;3
CP19930412;12-abr-93;ZACA;Corvus corax;2;-;13:05;14:40;2;2;W;3
CP19930412;12-abr-93;ZACA;Haematopus ostralegus;10;-;13:05;14:40;2;2;W;3
CP19930412;12-abr-93;ZACA;Larus fuscus;18;-;13:05;14:40;2;2;W;3
CP19930412;12-abr-93;ZACA;Melanitta nigra;1;-;13:05;14:40;2;2;W;3
CP19930419;19-abr-93;CAMA;Calidris alba;60;-;-;10:40;0;1;E;0
CP19930419;19-abr-93;CAMA;Milvus migrans;3;-;-;10:40;0;1;E;0
CP19930419;19-abr-93;CAMA;Numenius phaeopus;1;-;-;10:40;0;1;E;0
CP19930419;19-abr-93;MAZA;Charadrius hiaticula;5;-;-;10:40;0;1;E;0
CP19930419;19-abr-93;MAZA;Egretta garzetta;7;-;-;10:40;0;1;E;0
CP19930419;19-abr-93;MAZA;Haematopus ostralegus;155;-;-;10:40;0;1;E;0
CP19930419;19-abr-93;MAZA;Larus fuscus;420;-;-;10:40;0;1;E;0
CP19930419;19-abr-93;MAZA;Larus michahellis;18;-;-;10:40;0;1;E;0
CP19930419;19-abr-93;MAZA;Melanitta nigra;3;-;-;10:40;0;1;E;0
CP19930419;19-abr-93;MAZA;Mergus serrator;2;-;-;10:40;0;1;E;0
CP19930419;19-abr-93;MAZA;Numenius phaeopus;1;-;-;10:40;0;1;E;0
CP19930419;19-abr-93;MAZA;Recurvirostra avosetta;3;-;-;10:40;0;1;E;0
CP19930419;19-abr-93;MAZA;Sterna bengalensis;1;-;-;10:40;0;1;E;0
CP19930419;19-abr-93;MAZA;Tringa totanus;2;-;-;10:40;0;1;E;0
CP19930419;19-abr-93;ZACA;Actitis hypoleucos;1;-;-;10:40;0;1;E;0
CP19930419;19-abr-93;ZACA;Arenaria interpres;1;-;-;10:40;0;1;E;0
CP19930419;19-abr-93;ZACA;Calidris alba;205;-;-;10:40;0;1;E;0
CP19930419;19-abr-93;ZACA;Calidris alpina;1;-;-;10:40;0;1;E;0
CP19930419;19-abr-93;ZACA;Haematopus ostralegus;5;-;-;10:40;0;1;E;0
CP19930419;19-abr-93;ZACA;Larus fuscus;5;-;-;10:40;0;1;E;0
CP19930419;19-abr-93;ZACA;Sterna sandvicensis;2;-;-;10:40;0;1;E;0
CP19930419;19-abr-93;ZACA;Sternula albifrons;2;-;-;10:40;0;1;E;0
CP19930427;27-abr-93;CAMA;Calidris alba;5;-;11:10;12:30;0;2;W;2
CP19930427;27-abr-93;CAMA;Sterna sandvicensis;1;-;11:10;12:30;0;2;W;2
CP19930427;27-abr-93;MAZA;Calidris alba;10;-;11:10;12:30;0;2;W;2
CP19930427;27-abr-93;MAZA;Charadrius alexandrinus;2;-;11:10;12:30;0;2;W;2
CP19930427;27-abr-93;MAZA;Chroicocephalus genei;3;-;11:10;12:30;0;2;W;2
CP19930427;27-abr-93;MAZA;Chroicocephalus ridibundus;1;-;11:10;12:30;0;2;W;2
CP19930427;27-abr-93;MAZA;Egretta garzetta;1;-;11:10;12:30;0;2;W;2
CP19930427;27-abr-93;MAZA;Haematopus ostralegus;113;-;11:10;12:30;0;2;W;2
CP19930427;27-abr-93;MAZA;Larus fuscus;158;-;11:10;12:30;0;2;W;2
CP19930427;27-abr-93;MAZA;Larus michahellis;50;-;11:10;12:30;0;2;W;2
CP19930427;27-abr-93;MAZA;Numenius phaeopus;1;-;11:10;12:30;0;2;W;2
CP19930427;27-abr-93;MAZA;Sterna sandvicensis;30;-;11:10;12:30;0;2;W;2
CP19930427;27-abr-93;MAZA;Sternula albifrons;20;-;11:10;12:30;0;2;W;2
CP19930427;27-abr-93;ZACA;Calidris alba;8;-;11:10;12:30;0;2;W;2
CP19930427;27-abr-93;ZACA;Charadrius alexandrinus;3;-;11:10;12:30;0;2;W;2
CP19930427;27-abr-93;ZACA;Sterna sandvicensis;1;-;11:10;12:30;0;2;W;2
CP19930505;05-may-93;CAMA;Calidris alba;135;-;10:10;9:50;4;1;W;2
CP19930505;05-may-93;CAMA;Corvus corax;1;-;10:10;9:50;4;1;W;2
CP19930505;05-may-93;CAMA;Larus sp.;36;L.fuscus / L.michahellis;10:10;9:50;4;1;W;2
CP19930505;05-may-93;MAZA;Calidris alba;62;-;10:10;9:50;4;1;W;2
CP19930505;05-may-93;MAZA;Chlidonias hybrida;30;-;10:10;9:50;4;1;W;2
CP19930505;05-may-93;MAZA;Chlidonias niger;80;-;10:10;9:50;4;1;W;2
CP19930505;05-may-93;MAZA;Chroicocephalus genei;3;-;10:10;9:50;4;1;W;2
CP19930505;05-may-93;MAZA;Haematopus ostralegus;100;-;10:10;9:50;4;1;W;2
CP19930505;05-may-93;MAZA;Larus audouinii;2;-;10:10;9:50;4;1;W;2
CP19930505;05-may-93;MAZA;Larus fuscus;1091;-;10:10;9:50;4;1;W;2
CP19930505;05-may-93;MAZA;Larus michahellis;35;-;10:10;9:50;4;1;W;2
CP19930505;05-may-93;MAZA;Morus bassanus;2;-;10:10;9:50;4;1;W;2
CP19930505;05-may-93;MAZA;Sterna hirundo;7;-;10:10;9:50;4;1;W;2
CP19930505;05-may-93;MAZA;Sterna sandvicensis;6;-;10:10;9:50;4;1;W;2
CP19930505;05-may-93;MAZA;Sternula albifrons;95;-;10:10;9:50;4;1;W;2
